Hotel Name,Price (SAR),Rating,Reviews,Address,Check-in,Check-out,Search Area,Religious_Context,Latitude,Longitude,Stay_Duration,City_Madinah,City_Makkah,City_Taif,Season_Type_Hajj Peak,Season_Type_Pre-Hajj,Season_Type_Ramadan Season,Season_Type_Regular Umrah,Price_Category_Budget,Price_Category_Mid-Range,Price_Category_Premium,Price_Category_Luxury
فندق نجمة اسراء,-0.11925426550135042,-0.4477737133952027,-0.3364527420629029,"Lat: 21.4129222, Lng: 39.8671059",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.4129222,39.8671059,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق الزائرين ٢,-0.09063875233376835,-0.4477737133952027,-0.31209165197859884,"Lat: 21.410363399999998, Lng: 39.861818899999996",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.4103634,39.8618189,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق جار البيت,-0.025942809520104564,0.21141931320954838,-0.27366432577867167,"Lat: 21.417868499999997, Lng: 39.8650886",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.4178685,39.8650886,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق منارة العزيزة 3,-0.0632673919126029,-2.425352793209454,-0.35214984613396066,"Lat: 21.415703699999998, Lng: 39.8583147",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.4157037,39.8583147,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق مونتانا العزيزية,-0.0414947188503122,-1.3266977488682032,-0.23309648538723654,"Lat: 21.4165273, Lng: 39.8599336",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.4165273,39.8599336,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق جوار البيت,-0.11863218912814211,-0.667504722263453,-0.23146561743180197,"Lat: 21.4112033, Lng: 39.8619158",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.4112033,39.8619158,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق وسيم العزيزية,-0.10245820342472615,-0.667504722263453,-0.33675852980454685,"Lat: 21.405595700000003, Lng: 39.861436399999995",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.405595700000003,39.8614364,0.0,False,True,False,False,False,True,False,False,True,False,False
Verta Hotel Mahbas,0.3286407232086297,0.43115032207779774,-0.2805955145892686,"Lat: 21.420092, Lng: 39.84833400000001",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.420092,39.84833400000001,0.0,False,True,False,False,False,True,False,False,False,True,False
منى كونكورد,-0.08224072129545623,-0.4477737133952027,-0.014356320864573913,"Lat: 21.4150682, Lng: 39.862806899999995",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.4150682,39.8628069,0.0,False,True,False,False,False,True,False,False,True,False,False
فندق باب الملتزم كونكورد,0.39084836052946026,-0.008311695658702966,-0.13616177128609389,"Lat: 21.4222797, Lng: 39.8500766",2026-03-10,2026-03-15,Hotels in Aziziyah Makkah,High spiritual tourism season during Ramadan,21.4222797,39.8500766,0.0,False,True,False,False,False,True,False,False,False,True,False
